seller_id,frequency,recency,T,monetary_value,total_orders_cal,total_gmv_cal,historical_aov_cal,prob_alive,expected_avg_gmv,expected_orders_30d,activity_score_30d,p_purchase_approx_30d,predicted_gmv_30d,expected_commission_30d,actual_orders_30d,actual_active_30d,actual_gmv_30d,actual_commission_30d,expected_orders_60d,activity_score_60d,p_purchase_approx_60d,predicted_gmv_60d,expected_commission_60d,actual_orders_60d,actual_active_60d,actual_gmv_60d,actual_commission_60d,expected_orders_90d,activity_score_90d,p_purchase_approx_90d,predicted_gmv_90d,expected_commission_90d,actual_orders_90d,actual_active_90d,actual_gmv_90d,actual_commission_90d,rank_expected_commission,rank_expected_order,rank_probability_active,priority_score,rank_inactive_risk,save_priority_score,top_10_growth_target,top_10_save_target
0015a82c2db000af6aaaf3ae2ecb0532,2,21.41630787037037,216.0714583333333,895.0,3,2685.0,895.0,0.099161655840652,894.2766295403998,0.0329089929227726,0.0329089929227726,0.0323733835477169,29.429743272546,4.4144614908819,0.0,0,0.0,0.0,0.0653667132227696,0.0653667132227696,0.0632761086519908,58.45592398499228,8.768388597748842,0.0,0,0.0,0.0,0.0974197613884817,0.0974197613884817,0.0928248708916599,87.12021586512147,13.06803237976822,0.0,0,0.0,0.0,0.3701067615658363,0.1356761565836299,0.1356761565836299,0.2528914590747331,0.8647686832740213,0.3200567368701004,False,True
001cca7ae9ae17fb1caed9dfb1094831,191,447.5548611111111,450.2041087962963,125.73942408376963,192,24116.13,125.60484375,0.9977009990425434,125.7775716595128,12.574934138449276,12.574934138449276,0.999996542394078,1581.6446797124574,237.2467019568686,0.0,0,0.0,0.0,25.03821304393101,25.03821304393101,0.9999999999866328,3149.24563535918,472.386845303877,2.0,1,241.0,36.15,37.39724441104852,37.39724441104852,1.0,4703.734588778969,705.5601883168453,3.0,1,370.9,55.635,0.9461743772241993,0.9506227758007118,0.9506227758007118,0.9483985765124555,0.0498220640569395,0.0471403604310989,True,False
002100f778ceb8431b7a1020ff7ab48f,49,210.49851851851847,228.95796296296297,24.626530612244892,50,1216.6,24.332,0.8531708901812417,24.798646380774425,5.399886559358042,5.399886559358042,0.9954829066644832,133.90987728181676,20.086481592272516,0.0,0,0.0,0.0,10.71266422941894,10.71266422941894,0.9999777387760516,265.65957202133166,39.848935803199744,0.0,0,0.0,0.0,15.948370814287188,15.948370814287188,0.9999998815021256,395.4980081729714,59.32470122594571,0.0,0,0.0,0.0,0.5707295373665481,0.8687722419928826,0.8687722419928826,0.7197508896797155,0.13167259786476868,0.07514944086321096,False,False
003554e2dce176b5555353e4f3555ac8,0,0.0,136.71358796296298,0.0,1,120.0,120.0,1.0,120.0,0.0945794121872846,0.0945794121872846,0.0902445139156835,11.34952946247416,1.7024294193711238,0.0,0,0.0,0.0,0.1876624466870199,0.1876624466870199,0.1711055439152893,22.5194936024424,3.37792404036636,0.0,0,0.0,0.0,0.2794427393896696,0.2794427393896696,0.2437949726631216,33.53312872676035,5.029969309014053,0.0,0,0.0,0.0,0.2722419928825623,0.25622775800711745,0.25622775800711745,0.26423487544483987,0.7442170818505338,0.2026071415002343,False,False
004c9cd9d87a3c30c522c48c4fc07416,153,444.1254976851852,458.5593171296296,124.83816993464052,154,19220.23,124.8066883116883,0.8912002297988153,124.8858583010116,8.840979581675926,8.840979581675926,0.9998553190495644,1104.1133232793163,165.61699849189748,2.0,1,349.5,52.425,17.60487912306231,17.60487912306231,0.999999977390126,2198.600439569197,329.7900659353796,2.0,1,349.5,52.425,26.296725140723957,26.296725140723957,0.9999999999962028,3284.089089705101,492.6133634557651,2.0,1,349.5,52.425,0.9234875444839857,0.9301601423487544,0.9301601423487544,0.92682384341637,0.07028469750889679,0.06490704271729081,True,False
00720abe85ba0859807595bbf045a33b,6,86.9955787037037,93.42601851851852,47.28333333333333,7,439.7,62.81428571428571,0.970088068451383,48.643784279471575,1.903259242326677,1.903259242326677,0.8509180676058966,92.5817320116494,13.887259801747408,3.0,1,269.6,40.440000000000005,3.748081210925288,3.748081210925288,0.9764370852292288,182.3208538861903,27.348128082928543,4.0,1,357.8,53.67,5.546330893119987,5.546330893119987,0.9960982530612276,269.7945235074976,40.46917852612463,4.0,1,357.8,53.67,0.5124555160142349,0.6961743772241993,0.6961743772241993,0.604314946619217,0.304270462633452,0.15592507693671562,False,False
00ab3eff1b5192e5f1a63bcecfee11c8,0,0.0,408.5135763888889,0.0,1,98.0,98.0,1.0,98.0,0.03234860462295,0.03234860462295,0.0318309849505407,3.170163253049109,0.4755244879573663,0.0,0,0.0,0.0,0.0645060083659782,0.0645060083659782,0.0624695187811199,6.321588819865872,0.9482383229798808,0.0,0,0.0,0.0,0.0964823292859338,0.0964823292859338,0.0919740570752146,9.455268270021518,1.4182902405032276,0.0,0,0.0,0.0,0.15302491103202848,0.1338967971530249,0.1338967971530249,0.14346085409252668,0.8665480427046264,0.13260343713985387,False,False
00d8b143d12632bad99c0ad66ad52825,0,0.0,40.5294212962963,0.0,1,86.0,86.0,1.0,86.0,0.2968603645959456,0.2968603645959456,0.2568522251428734,25.52999135525133,3.829498703287699,0.0,0,0.0,0.0,0.5819912915889816,0.5819912915889816,0.4412154450127661,50.05125107665241,7.507687661497862,0.0,0,0.0,0.0,0.858563292176938,0.858563292176938,0.5762295204682946,73.83644312721667,11.0754664690825,0.0,0,0.0,0.0,0.35320284697508897,0.3821174377224199,0.3821174377224199,0.36766014234875444,0.6183274021352313,0.2183949987968744,False,False
00ee68308b45bc5e2660cd833c3f81cc,128,218.4225578703704,223.95642361111112,152.890625,129,19650.0,152.32558139534885,0.9742188224951336,152.94513644690457,16.365315846801025,16.365315846801025,0.9999999219031293,2502.9954651856724,375.44931977785086,1.0,1,79.0,11.85,32.45867844063807,32.45867844063807,0.999999999999992,4964.397002989589,744.6595504484384,4.0,1,293.0,43.95,48.31226863718227,48.31226863718227,1.0,7389.126518773351,1108.3689778160026,4.0,1,293.0,43.95,0.9715302491103203,0.9684163701067615,0.9684163701067615,0.9699733096085409,0.03202846975088968,0.031116627195704207,True,False
00fc707aaaad2d31347cf883cd2dfe10,99,84.82621527777778,89.35186342592593,122.47373737373736,100,12298.5,122.985,0.8273555661650399,122.54770595877989,26.070673251805445,26.070673251805445,0.9999999999952396,3194.901199809681,479.23517997145217,1.0,1,190.0,28.5,51.23441413348393,51.23441413348393,1.0,6278.659918200545,941.7989877300816,3.0,1,386.4,57.96,75.69395491155349,75.69395491155349,1.0,9276.1205293582,1391.4180794037295,3.0,1,386.4,57.96,0.9795373665480427,0.9853202846975089,0.986432384341637,0.9826512455516014,0.014012455516014235,0.013725723775028177,True,False
